11046,13670,12528,37495,3093,3830,3500,10492
7686,9528,8726,26118,6566,8138,7455,22309
4238,5250,4800,14385,10072,12489,11448,34243
12508,15510,14220,42531,1053,1300,1178,3552
9783,12131,11116,33258,4534,5619,5143,15400
6299,7808,7147,21399,8016,9941,9109,27250
2822,3494,3189,9569,61,68,48,174
11868,14722,13494,40364,2485,3076,2809,8426
8380,10394,9521,28492,5995,7435,6810,20380
4908,6086,5567,16674,9488,11772,10790,32274
12595,15631,14330,42855,418,511,454,1389
10502,13034,11944,35730,3930,4874,4459,13354
6956,8628,7900,23645,7414,9197,8427,25211
3466,4296,3925,11767,61,68,48,175
12541,15564,14267,42670,1850,2290,2087,6268
9045,11223,10282,30763,5350,6635,6076,18185
5542,6874,6290,18836,8840,10969,10054,30071
2029,2511,2288,6872,61,69,48,175
11087,13758,12609,37718,3286,4073,3724,11159
7593,9420,8627,25821,6772,8401,7697,23029
4092,5072,4637,13896,10227,12688,11632,34787
12539,15562,14267,42666,1212,1498,1359,4094
9653,11980,10977,32839,4718,5852,5357,16036
6138,7612,6968,20862,8186,10156,9307,27841
2659,3294,3005,9019,62,69,48,176
11671,14480,13273,39699,2636,3265,2983,8943
8184,10151,9300,27827,6106,7573,6937,20758
4712,5842,5344,16007,9580,11885,10895,32584
12495,15503,14214,42508,573,704,631,1917
10244,12710,11647,34843,4047,5017,4591,13747
6773,8400,7692,23022,7524,9332,8553,25583
3304,4095,3740,11214,62,69,48,176
12322,15290,14017,41918,1991,2465,2248,6748
8849,10980,10059,30097,5474,6789,6218,18609
5368,6657,6092,18243,8940,11092,10168,30409
1889,2337,2128,6396,61,69,48,176
10916,13545,12415,37135,3405,4219,3859,11561
