2805,4493,2061,9470,7592,12172,5586,25660
9083,14567,6685,30705,1040,1664,763,3505
6819,10934,5018,23047,3567,5717,2624,12050
4293,6883,3158,14508,6093,9772,4485,20598
1767,2832,1298,5967,42,63,28,130
8321,13349,6126,28137,2081,3334,1530,7027
5781,9274,4255,19547,4604,7385,3389,15565
3272,5248,2407,11060,7177,11524,5288,24287
9123,14668,6727,30901,579,927,424,1951
6294,10021,4607,21148,2727,4339,1995,9156
4241,6764,3108,14269,5033,8028,3690,16936
1987,3166,1454,6678,47,70,31,145
7830,12497,5743,26364,1455,2318,1064,4889
5586,8916,4097,18808,3733,5956,2737,12565
3333,5317,2442,11215,5990,9561,4394,20170
8471,13546,6224,28570,133,209,95,438
7180,11487,5274,24222,2467,3941,1809,8310
4815,7698,3534,16232,4803,7679,3527,16194
2487,3979,1825,8387,7179,11492,5277,24230
8403,13461,6180,28378,1090,1742,799,3670
6241,9995,4588,21070,3457,5533,2540,11665
3880,6212,2851,13096,5802,9291,4266,19589
1529,2447,1122,5156,46,69,30,144
7608,12192,5596,25700,2064,3304,1516,6964
5300,8493,3897,17902,4440,7113,3265,14994
2933,4697,2155,9899,6800,10898,5003,22972
8502,13629,6256,28728,674,1076,493,2266
6709,10756,4936,22670,3047,4881,2240,10288
4346,6966,3196,14680,5423,8694,3990,18323
1971,3157,1448,6653,46,69,30,143
8109,13002,5968,27405,1647,2636,1209,5555
