6654,2952,1960,11403,9402,4173,2771,16117
2763,1230,816,4740,90,48,31,162
12861,5704,3787,22039,3198,1426,946,5489
8943,3967,2634,15327,7073,3142,2086,12128
5067,2250,1494,8685,10985,4874,3237,18830
14034,6224,4133,24052,903,408,270,1555
11269,4998,3319,19313,4796,2134,1416,8227
7372,3271,2172,12635,8689,3858,2562,14898
3477,1546,1026,5962,90,48,31,162
13594,6028,4003,23297,2494,1114,739,4283
9676,4292,2850,16582,6389,2839,1885,10957
5790,2571,1707,9924,10293,4568,3034,17645
14027,6221,4132,24041,185,90,59,326
11984,5314,3529,20536,4080,1816,1206,7000
8097,3592,2385,13876,7984,3545,2354,13688
4205,1869,1241,7210,11891,5276,3504,20383
14086,6247,4149,24141,1773,794,527,3048
10455,4638,3080,17918,5686,2528,1679,9753
6559,2913,1933,11245,9635,4280,2842,16524
2635,1175,779,4522,90,48,31,163
12835,5696,3782,22004,3383,1509,1001,5808
8896,3950,2622,15253,7301,3246,2155,12525
4967,2208,1465,8519,11236,4991,3313,19269
14163,6287,4174,24284,1052,475,314,1811
11224,4982,3307,19245,4970,2212,1468,8529
7292,3239,2150,12504,8890,3951,2623,15249
3375,1502,997,5790,90,48,31,163
